Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,HDD,SSD,Price
Apple,Ultrabook,8,1.37,0,1,226.9830047,0,128,71378.6832
Apple,Ultrabook,8,1.34,0,0,127.6779401,0,0,47895.5232
HP,Notebook,8,1.86,0,0,141.2119981,0,256,30636.0
Apple,Ultrabook,16,1.83,0,1,220.5346239,0,512,135195.336
Apple,Ultrabook,8,1.37,0,1,226.9830047,0,256,96095.808
Acer,Notebook,4,2.1,0,0,100.4546699,500,0,21312.0
Apple,Ultrabook,16,2.04,0,1,220.5346239,0,0,114017.6016
Apple,Ultrabook,8,1.34,0,0,127.6779401,0,0,61735.536
Asus,Ultrabook,16,1.3,0,0,157.3505121,0,512,79653.6
Acer,Ultrabook,8,1.6,0,1,157.3505121,0,256,41025.6
HP,Notebook,4,1.86,0,0,100.4546699,500,0,20986.992
HP,Notebook,4,1.86,0,0,141.2119981,500,0,18381.0672
Apple,Ultrabook,16,1.83,0,1,220.5346239,0,256,130001.6016
Dell,Notebook,4,2.2,0,0,141.2119981,0,256,26581.392
Apple,Ultrabook,8,0.92,0,1,226.4155472,0,256,67260.672
Apple,Ultrabook,8,1.37,0,1,226.9830047,0,256,80908.344
Dell,Notebook,8,2.2,0,0,141.2119981,0,256,39693.6
Apple,Ultrabook,16,1.83,0,1,220.5346239,0,512,152274.24
Lenovo,Notebook,8,2.2,0,0,141.2119981,1000,0,26586.72
Dell,Ultrabook,8,1.22,1,1,165.6321181,0,128,52161.12
Asus,Netbook,2,0.98,0,0,135.0942112,0,0,10224.432
Lenovo,Gaming,8,2.5,0,1,141.2119981,1000,128,53226.72
HP,Notebook,4,1.86,0,0,100.4546699,500,0,13746.24
Dell,2 in 1 Convertible,8,1.62,1,0,165.6321181,0,256,43636.32
HP,Ultrabook,8,1.91,0,0,141.2119981,0,256,35111.52
Dell,Notebook,4,2.3,0,0,100.4546699,1000,0,22305.1392
Apple,Ultrabook,8,1.35,0,0,127.6779401,0,0,58554.72
Dell,Notebook,8,2.2,0,0,141.2119981,0,256,42624.0
Dell,Ultrabook,8,1.88,0,0,141.2119981,0,512,69157.44
HP,Notebook,8,2.5,0,0,127.3356746,1000,0,47738.88
Chuwi,Notebook,4,1.89,0,0,141.2119981,0,0,13053.0672
Asus,Notebook,2,1.65,0,0,111.9352036,0,0,10602.72
HP,Notebook,4,2.71,0,0,127.3356746,500,0,23389.92
Dell,Ultrabook,16,1.2,1,0,276.0535301,0,512,99580.32
Apple,Ultrabook,8,1.35,0,0,127.6779401,0,0,53173.44
Lenovo,Notebook,4,1.44,0,0,111.9352036,0,0,13266.72
Acer,Notebook,4,2.1,0,0,100.4546699,1000,0,19553.76
Dell,Notebook,8,2.8,0,1,127.3356746,1000,128,52161.12
HP,Notebook,4,1.86,0,0,100.4546699,1000,0,26037.4032
HP,Notebook,8,2.1,0,0,141.2119981,0,256,46833.12
Asus,Notebook,4,2.0,0,0,141.2119981,1000,0,20725.92
Dell,Gaming,16,2.65,0,1,141.2119981,1000,256,79866.72
Asus,Notebook,8,2.3,0,0,100.4546699,1000,0,27864.9072
Acer,Notebook,4,2.2,0,1,141.2119981,0,256,36336.96
Dell,2 in 1 Convertible,12,2.77,1,0,127.3356746,1000,0,53226.72
Apple,Ultrabook,8,1.37,0,1,226.9830047,0,256,75604.32
Lenovo,Notebook,4,2.2,0,0,100.4546699,0,128,19660.32
Asus,Gaming,8,3.2,0,0,127.3356746,1000,256,69210.72
Dell,Notebook,4,2.3,0,0,141.2119981,0,256,34045.92
Asus,Notebook,4,2.8,0,0,90.58340172,1000,0,24828.48
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738091,0,0,16996.32
Acer,Notebook,8,2.2,0,1,141.2119981,0,256,44808.48
HP,Notebook,4,1.86,0,0,141.2119981,0,256,21231.5472
HP,Notebook,8,1.49,0,0,165.6321181,0,512,58767.84
Acer,Notebook,4,2.4,0,0,100.4546699,1000,0,20459.52
Dell,Notebook,8,2.13,0,0,141.2119981,0,256,40908.384
HP,Notebook,4,1.91,0,0,141.2119981,0,128,23389.92
Asus,Notebook,4,2.0,0,0,100.4546699,0,256,31232.2032
MSI,Gaming,16,2.43,0,0,127.3356746,2000,256,130482.72
Asus,Notebook,4,2.0,0,0,141.2119981,0,256,22111.2
Dell,Notebook,16,2.8,0,0,127.3356746,2000,256,69210.72
Dell,Ultrabook,8,1.7,0,0,157.3505121,0,256,46833.12
Lenovo,Notebook,8,1.7,0,1,157.3505121,0,256,31914.72
Asus,Notebook,8,1.4,0,0,157.3505121,0,256,50136.48
HP,Notebook,8,1.86,0,0,141.2119981,0,256,36763.2
Asus,Ultrabook,16,1.8,0,0,141.2119981,0,512,105654.24
HP,Notebook,4,1.86,0,0,100.4546699,500,0,23373.4032
HP,Notebook,4,1.44,0,0,111.9352036,0,32,12201.12
Lenovo,Notebook,4,1.9,0,0,141.2119981,1000,0,29250.72
Asus,Gaming,12,3.0,0,0,127.3356746,1000,0,50562.72
Microsoft,Ultrabook,4,1.252,1,0,200.8425599,0,128,58021.92
Dell,Ultrabook,8,1.4,0,1,165.6321181,0,256,50882.4
Dell,Notebook,8,2.2,0,0,141.2119981,0,256,46353.6
MSI,Gaming,8,2.7,0,0,127.3356746,1000,128,58341.6
Acer,Notebook,8,2.1,0,0,111.9352036,1000,0,20725.92
Asus,Gaming,8,2.2,0,0,141.2119981,1000,0,50562.72
Lenovo,Notebook,8,2.2,0,0,141.2119981,2000,0,27652.32
Dell,Notebook,8,2.02,0,0,141.2119981,1000,128,45554.4
Acer,Notebook,4,2.2,0,0,141.2119981,1000,0,28238.4
HP,Notebook,8,2.5,0,0,127.3356746,1000,128,52054.56
Dell,Ultrabook,8,1.88,0,1,141.2119981,0,256,58403.4048
Apple,Ultrabook,8,0.92,0,1,226.4155472,0,512,80452.8
HP,Notebook,8,1.63,0,0,157.3505121,0,256,45820.8
Lenovo,Notebook,4,2.2,0,0,141.2119981,0,128,21258.72
Acer,Notebook,4,2.1,0,0,100.4546699,1000,0,21045.6
Dell,Gaming,16,2.65,0,1,141.2119981,1000,128,71874.72
HP,Ultrabook,8,1.83,0,1,141.2119981,0,256,37242.72
HP,Notebook,8,1.96,0,0,141.2119981,0,256,31914.1872
Asus,Gaming,16,2.2,0,1,141.2119981,1000,128,77202.72
Dell,Ultrabook,8,1.21,0,1,165.6321181,0,256,87858.72
Asus,Gaming,8,2.45,0,0,141.2119981,1000,0,37242.72
Acer,Notebook,8,2.2,0,0,141.2119981,1000,0,36709.92
HP,Notebook,16,1.49,0,0,165.6321181,0,512,63776.16
Dell,Gaming,8,2.65,0,0,141.2119981,0,256,63669.6
Asus,Ultrabook,8,1.25,0,0,157.3505121,0,256,55890.72
